source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2023-10-30,short,10,BUY,0.1812152716371547,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2024-12-02,short,10,BUY,-0.047759642683529,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221047,NVDA,2024-12-02,short,10,BUY,-0.047759642683529,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221104,NVDA,2024-12-02,short,10,HOLD,-0.047759642683529,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2024-12-02,short,10,HOLD,-0.047759642683529,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2025-02-24,short,10,BUY,-0.178845638363878,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221047,NVDA,2025-02-24,short,10,SELL,-0.178845638363878,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221104,NVDA,2025-02-24,short,10,HOLD,-0.178845638363878,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2025-02-24,short,10,HOLD,-0.178845638363878,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2025-08-11,short,10,BUY,-0.0123585233274996,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221047,NVDA,2025-08-11,short,10,BUY,-0.0123585233274996,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221104,NVDA,2025-08-11,short,10,HOLD,-0.0123585233274996,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2025-08-11,short,10,BUY,-0.0123585233274996,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,NVDA,2026-01-05,short,10,BUY,-0.0534232832969627,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221047,NVDA,2026-01-05,short,10,SELL,-0.0534232832969627,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221104,NVDA,2026-01-05,short,10,HOLD,-0.0534232832969627,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,NVDA,2026-01-05,short,10,SELL,-0.0534232832969627,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2021-11-15,short,10,BUY,-0.0703743716469586,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221048,XOM,2021-11-15,short,10,BUY,-0.0703743716469586,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221105,XOM,2021-11-15,short,10,HOLD,-0.0703743716469586,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,XOM,2021-11-15,short,10,HOLD,-0.0703743716469586,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,XOM,2022-01-17,short,10,BUY,0.1060480014885196,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221048,XOM,2022-01-17,short,10,BUY,0.1060480014885196,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221105,XOM,2022-01-17,short,10,SELL,0.1060480014885196,0
