source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153537,NVDA,2025-06-09,short,10,BUY,0.03702053906265381,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153538,NVDA,2025-06-09,short,10,HOLD,0.03702053906265381,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153538,NVDA,2025-06-09,short,10,SELL,0.03702053906265381,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153538,NVDA,2025-06-23,short,10,BUY,0.1098009731069285,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153538,NVDA,2025-06-23,short,10,BUY,0.1098009731069285,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153539,NVDA,2025-06-23,short,10,HOLD,0.1098009731069285,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153539,NVDA,2025-06-23,short,10,SELL,0.1098009731069285,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153539,NVDA,2025-07-07,short,10,BUY,0.08303846322614306,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153539,NVDA,2025-07-07,short,10,BUY,0.08303846322614306,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153539,NVDA,2025-07-07,short,10,SELL,0.08303846322614306,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153539,NVDA,2025-07-07,short,10,HOLD,0.08303846322614306,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153539,NVDA,2025-07-21,short,10,BUY,0.050297489773649895,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153540,NVDA,2025-07-21,short,10,BUY,0.050297489773649895,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153540,NVDA,2025-07-21,short,10,SELL,0.050297489773649895,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153540,NVDA,2025-07-21,short,10,SELL,0.050297489773649895,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153540,NVDA,2025-08-04,short,10,BUY,0.011166615996157068,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153541,NVDA,2025-08-04,short,10,BUY,0.011166615996157068,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153541,NVDA,2025-08-04,short,10,HOLD,0.011166615996157068,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153541,NVDA,2025-08-04,short,10,BUY,0.011166615996157068,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153541,NVDA,2025-08-18,short,10,BUY,-0.06169984245657075,0,SELL,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153542,NVDA,2025-08-18,short,10,BUY,-0.06169984245657075,0,SELL,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153542,NVDA,2025-08-18,short,10,HOLD,-0.06169984245657075,0,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153542,NVDA,2025-08-18,short,10,SELL,-0.06169984245657075,1,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153542,NVDA,2025-09-15,short,10,BUY,0.023066221683282002,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153542,NVDA,2025-09-15,short,10,HOLD,0.023066221683282002,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153543,NVDA,2025-09-15,short,10,HOLD,0.023066221683282002,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153543,NVDA,2025-09-15,short,10,SELL,0.023066221683282002,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153543,NVDA,2025-09-29,short,10,BUY,0.035578744722166766,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153543,NVDA,2025-09-29,short,10,HOLD,0.035578744722166766,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153544,NVDA,2025-09-29,short,10,HOLD,0.035578744722166766,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153544,NVDA,2025-09-29,short,10,BUY,0.035578744722166766,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153544,NVDA,2025-10-13,short,10,BUY,0.01683300444459642,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153544,NVDA,2025-10-13,short,10,BUY,0.01683300444459642,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153544,NVDA,2025-10-13,short,10,HOLD,0.01683300444459642,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153544,NVDA,2025-10-13,short,10,HOLD,0.01683300444459642,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153544,NVDA,2025-10-27,short,10,BUY,0.039479902046332754,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153545,NVDA,2025-10-27,short,10,BUY,0.039479902046332754,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153545,NVDA,2025-10-27,short,10,HOLD,0.039479902046332754,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153545,NVDA,2025-10-27,short,10,SELL,0.039479902046332754,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153545,NVDA,2025-11-10,short,10,BUY,-0.08289375788424218,0,SELL,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153546,NVDA,2025-11-10,short,10,BUY,-0.08289375788424218,0,SELL,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153546,NVDA,2025-11-10,short,10,HOLD,-0.08289375788424218,0,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153546,NVDA,2025-11-10,short,10,HOLD,-0.08289375788424218,0,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153546,NVDA,2025-11-24,short,10,BUY,0.01331304176208991,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153547,NVDA,2025-11-24,short,10,BUY,0.01331304176208991,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153547,NVDA,2025-11-24,short,10,BUY,0.01331304176208991,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153547,NVDA,2025-11-24,short,10,HOLD,0.01331304176208991,1,HOLD,N/A
